"ID_A"|"sci_name_1"|"ID_R"|"sci_name_2"|"CO_PROJET"|"STATUT"|"field_synonym_status"|"NOTES"
9363|"Paralepistemon shirensis (Oliv.) Lejoly & Lisowski"|8371|"Porana subrotundifolia De Wild."|"FSA"|"="|116074|
9363|"Paralepistemon shirensis (Oliv.) Lejoly & Lisowski"|8865|"Ipomoea shirensis Oliv."|"FSA"|"#"|116072|"(1884), non Baker (1894)"
9363|"Paralepistemon shirensis (Oliv.) Lejoly & Lisowski"|9331|"Turbina shirensis (Oliv.) A. Meeuse"|"FSA"|"#"|116072|
9364|"Xenostegia tridentata subsp. angustifolia (Jacq.) Lejoly & Lisowski"|34883|"Ipomoea convolvuloides Schinz"|"FSA"|"="|116074|"non Hallier f. - fide Fl. S. Africa 28(1): 63"
9459|"Falkia repens Thunb."|9456|"Falkia dichondroides Baker"|"FSA"|"="|116074|
9459|"Falkia repens Thunb."|9457|"Falkia diffusa (Choisy) Hallier f."|"FSA"|"="|116074|
9459|"Falkia repens Thunb."|9460|"Falkia villosa Hallier f."|"FSA"|"="|116074|
9459|"Falkia repens Thunb."|35021|"Falkia repens var. diffusa Choisy"|"FSA"|"="|116074|"- fide Bot. Jahrb. 18: 85"
9482|"Diospyros acocksii (De Winter) De Winter"|9700|"Royena acocksii De Winter"|"FSA"|"#"|116072|
9483|"Diospyros austro-africana De Winter var. austro-africana"|9724|"Royena hirsuta L."|"FSA"|"="|116074|
9484|"Diospyros austro-africana var. microphylla (Burch.) De Winter"|9712|"Royena microphylla Burch."|"FSA"|"#"|116072|
9485|"Diospyros austro-africana var. rubriflora (De Winter) De Winter"|9706|"Royena hirsuta var. rubriflora De Winter"|"FSA"|"#"|116072|
9486|"Diospyros austro-africana var. rugosa (E. Mey. ex A. DC.) De Winter"|9717|"Royena rugosa E. Mey. ex A. DC."|"FSA"|"#"|116072|
9487|"Diospyros batocana Hiern"|9521|"Diospyros xanthocarpa Gürke"|"FSA"|"="|116074|
9487|"Diospyros batocana Hiern"|9522|"Diospyros odorata Hiern ex Greves"|"FSA"|"="|116074|
9487|"Diospyros batocana Hiern"|9523|"Diospyros odorata var. rhodesiana Rendle"|"FSA"|"="|116074|
9489|"Diospyros dichrophylla (Gand.) De Winter"|9702|"Royena dichrophylla Gand."|"FSA"|"#"|116072|
9490|"Diospyros galpinii (Hiern) De Winter"|9703|"Royena galpinii Hiern"|"FSA"|"#"|116072|
9491|"Diospyros glabra (L.) De Winter"|9704|"Royena glabra L."|"FSA"|"#"|116072|
9492|"Diospyros glandulifera De Winter"|9725|"Royena glandulosa Harv. ex Hiern"|"FSA"|"?"|116073|
9494|"Diospyros lycioides subsp. guerkei (Kuntze) De Winter"|9705|"Royena guerkei Kuntze"|"FSA"|"#"|116072|
9494|"Diospyros lycioides subsp. guerkei (Kuntze) De Winter"|9708|"Royena lycioides subsp. guerkei (Kuntze) De Winter"|"FSA"|"#"|116072|
9495|"Diospyros lycioides Desf. subsp. lycioides"|9707|"Royena lycioides (Desf.) A. DC."|"FSA"|"#"|116072|
9496|"Diospyros lycioides subsp. nitens (Harv. ex Hiern) De Winter"|9709|"Royena lycioides subsp. nitens (Harv. ex Hiern) De Winter"|"FSA"|"#"|116072|
9496|"Diospyros lycioides subsp. nitens (Harv. ex Hiern) De Winter"|9713|"Royena nitens Harv. ex Hiern"|"FSA"|"#"|116072|
9497|"Diospyros lycioides subsp. sericea (Bernh.) De Winter"|9719|"Royena sericea Bernh."|"FSA"|"#"|116072|
9497|"Diospyros lycioides subsp. sericea (Bernh.) De Winter"|9727|"Royena lycioides subsp. sericea (Bernh.) De Winter"|"FSA"|"#"|116072|
9498|"Diospyros mespiliformis Hochst. ex A. DC."|9606|"Diospyros bicolor Klotzsch"|"FSA"|"="|116074|"non Winkl. (1864)"
9498|"Diospyros mespiliformis Hochst. ex A. DC."|9607|"Diospyros sabiensis Hiern"|"FSA"|"="|116074|
9498|"Diospyros mespiliformis Hochst. ex A. DC."|9608|"Diospyros holtzii Gürke"|"FSA"|"="|116074|"quoad typum solum"
9498|"Diospyros mespiliformis Hochst. ex A. DC."|9609|"Diospyros senegalensis Perr. ex A. DC."|"FSA"|"="|116074|
9498|"Diospyros mespiliformis Hochst. ex A. DC."|31430|"Diospyros ibo Gürke ex De Wild."|"FSA"|"="|116074|"- fide Fl. Cameroun (1970)."
9499|"Diospyros natalensis (Harv.) Brenan"|9612|"Diospyros dawei (Hutch.) Brenan"|"FSA"|"#"|116072|
9499|"Diospyros natalensis (Harv.) Brenan"|9614|"Diospyros nyasae Brenan"|"FSA"|"="|116074|
9499|"Diospyros natalensis (Harv.) Brenan"|9803|"Maba natalensis Harv."|"FSA"|"#"|116072|
9499|"Diospyros natalensis (Harv.) Brenan"|9835|"Maba dawei Hutch."|"FSA"|"="|116074|
9501|"Diospyros pallens (Thunb.) F. White"|9714|"Royena pallens Thunb."|"FSA"|"#"|116072|
9501|"Diospyros pallens (Thunb.) F. White"|33074|"Royena ambigua Salisb."|"FSA"|"?"|116073|"- fide South Afr. in Hiern 1873, syn ""perhaps"""
9502|"Diospyros ramulosa (E. Mey. ex A. DC.) De Winter"|9716|"Royena ramulosa E. Mey. ex A. DC."|"FSA"|"#"|116072|
9504|"Diospyros scabrida var. cordata (E. Mey. ex A. DC.) De Winter"|9701|"Royena cordata E. Mey. ex A. DC."|"FSA"|"#"|116072|
9505|"Diospyros scabrida (Harv. ex Hiern) De Winter var. scabrida"|9718|"Royena scabrida Harv. ex Hiern"|"FSA"|"#"|116072|
9506|"Diospyros simii (Kuntze) De Winter"|9720|"Royena simii Kuntze"|"FSA"|"#"|116072|
9508|"Diospyros villosa var. parvifolia (De Winter) De Winter"|9722|"Royena villosa var. parvifolia De Winter"|"FSA"|"#"|116072|
9509|"Diospyros villosa (L.) De Winter var. villosa"|9721|"Royena villosa L."|"FSA"|"#"|116072|
9510|"Diospyros virgata (Gürke) Brenan"|9804|"Maba virgata Gürke"|"FSA"|"#"|116072|
9510|"Diospyros virgata (Gürke) Brenan"|9833|"Maba fragrans Hiern ex Greves"|"FSA"|"="|116074|
9511|"Diospyros whyteana (Hiern) F. White"|9723|"Royena whyteana Hiern"|"FSA"|"#"|116072|
9511|"Diospyros whyteana (Hiern) F. White"|9729|"Royena lucida L."|"FSA"|"="|116074|
9511|"Diospyros whyteana (Hiern) F. White"|9730|"Royena lucida var. whyteana (Hiern) De Winter & Brenan"|"FSA"|"?"|116073|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|9768|"Euclea lanceolata E. Mey. ex A. DC."|"FSA"|"="|116074|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|9769|"Euclea dekindtii Gürke"|"FSA"|"="|116074|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|9770|"Euclea baumii Gürke"|"FSA"|"="|116074|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|9771|"Euclea bakerana Brenan"|"FSA"|"="|116074|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|33057|"Euclea guerkei Hiern"|"FSA"|"="|116074|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|78715|"Gymnosporia ferruginea Baker"|"FSA"|"="|116074|
9741|"Euclea crispa (Thunb.) Gürke subsp. crispa"|127288|"Celastrus crispus Thunb."|"FSA"|"#"|116072|
9742|"Euclea crispa subsp. ovata (Burch.) F. White"|33030|"Euclea ovata Burch."|"FSA"|"#"|116072|
9744|"Euclea divinorum Hiern"|9773|"Euclea katangensis De Wild."|"FSA"|"="|116074|
9744|"Euclea divinorum Hiern"|9774|"Euclea huillensis Gürke"|"FSA"|"="|116074|
9744|"Euclea divinorum Hiern"|9775|"Euclea kiwuensis Gürke"|"FSA"|"="|116074|
9744|"Euclea divinorum Hiern"|18469|"Embelia oleifolia S. Moore"|"FSA"|"="|116074|
9746|"Euclea linearis Zeyh. ex Hiern"|9772|"Euclea eylesii Hiern"|"FSA"|"="|116074|
9750|"Euclea natalensis subsp. capensis F. White"|9761|"Euclea tomentosa E. Mey. ex A. DC. × natalensis A. DC."|"FSA"|"?"|116073|
9752|"Euclea natalensis A. DC. subsp. natalensis"|9747|"Euclea multiflora Hiern"|"FSA"|"="|116074|"sensu stricto"
9753|"Euclea natalensis subsp. obovata F. White"|9780|"Euclea fructuosa Hiern"|"FSA"|"="|116074|
9755|"Euclea polyandra (L. f.) E. Mey. ex Hiern"|9715|"Royena polyandra L. f."|"FSA"|"#"|116072|
