"ID_A"|"sci_name_1"|"ID_R"|"sci_name_2"|"CO_PROJET"|"STATUT"|"field_synonym_status"|"NOTES"
72049|"Brachystelma arnotii Baker"|116252|"Anisotoma arnotii (Baker) Benth. & Hook. f."|"FSA"|"#"|116072|"- fide Fl. Cap. 4(1): 845"
72051|"Brachystelma barberiae Harv. ex Hook. f."|73121|"Dichaelia barberiae (Harv. ex Hook. f.) Bullock"|"FSA"|"#"|116072|
72052|"Brachystelma blepharanthera H. Huber"|74729|"Blepharanthera dinteri Schltr."|"FSA"|"="|116074|
72052|"Brachystelma blepharanthera H. Huber"|124688|"Blepharanthera edulis Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 7"
72053|"Brachystelma brevipedicellatum Turrill"|72123|"Brachystelma ringens E. A. Bruce"|"FSA"|"="|116074|
72056|"Brachystelma caffrum (Schltr.) N.E. Br."|125491|"Tapeinostelma caffrum Schltr."|"FSA"|"#"|116072|"- fide Fl. Cap. 4(1): 847"
72062|"Brachystelma christianeae Peckover"|74335|"Tenaris christianeae (Peckover) J. Victor & Nicholas"|"FSA"|"#"|116072|
72063|"Brachystelma circinatum E. Mey."|72082|"Brachystelma galpinii (Schltr.) N.E. Br."|"FSA"|"="|116074|
72063|"Brachystelma circinatum E. Mey."|72109|"Brachystelma pallidum (Schltr.) N.E. Br."|"FSA"|"="|116074|
72063|"Brachystelma circinatum E. Mey."|73123|"Dichaelia circinata (E. Mey.) Schltr."|"FSA"|"#"|116072|
72063|"Brachystelma circinatum E. Mey."|73131|"Dichaelia galpinii Schltr."|"FSA"|"="|116074|
72063|"Brachystelma circinatum E. Mey."|124691|"Brachystelma bolusii N.E. Br."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124692|"Brachystelma commixtum N.E. Br."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124698|"Brachystelma filiforme Harv."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124699|"Brachystelma ovatum Oliv."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124700|"Dichaelia undulata Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124701|"Dichaelia pallida Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124703|"Dichaelia zeyheri Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124705|"Dichaelia cinerea Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124706|"Dichaelia macra Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|124707|"Dichaelia brachylepis Schltr."|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72063|"Brachystelma circinatum E. Mey."|125140|"Dichaelia microphylla S. Moore"|"FSA"|"="|116074|"- fide Fl. S. Africa 27 (4): 33"
72075|"Brachystelma duplicatum R.A. Dyer"|72079|"Brachystelma floribundum R.A. Dyer"|"FSA"|"="|116074|"non Turrill"
72077|"Brachystelma elongatum (Schltr.) N.E. Br."|72074|"Brachystelma distinctum N.E. Br."|"FSA"|"="|116074|
72077|"Brachystelma elongatum (Schltr.) N.E. Br."|73124|"Dichaelia elongata Schltr."|"FSA"|"#"|116072|
72080|"Brachystelma foetidum Schltr."|72121|"Brachystelma rehmannii Schltr."|"FSA"|"="|116074|
72084|"Brachystelma gerrardii Harv."|72105|"Brachystelma nigrum R.A. Dyer"|"FSA"|"="|116074|
72084|"Brachystelma gerrardii Harv."|73125|"Dichaelia gerrardii (Harv.) Harv."|"FSA"|"#"|116072|
72084|"Brachystelma gerrardii Harv."|75141|"Lasiostelma gerrardii (Harv.) Schltr."|"FSA"|"#"|116072|
72084|"Brachystelma gerrardii Harv."|75643|"Brachystelmaria gerrardii (Harv.) Schltr."|"FSA"|"#"|116072|
72087|"Brachystelma gracillimum R.A. Dyer"|73126|"Dichaelia gracillima (R.A. Dyer) Bullock"|"FSA"|"#"|116072|
72089|"Brachystelma gymnopodum (Schltr.) Bruyns"|73472|"Ceropegia pumila N.E. Br."|"FSA"|"="|116074|
72089|"Brachystelma gymnopodum (Schltr.) Bruyns"|73474|"Ceropegia pygmaea Schinz"|"FSA"|"="|116074|
72089|"Brachystelma gymnopodum (Schltr.) Bruyns"|73668|"Ceropegia gymnopoda Schltr."|"FSA"|"#"|116072|
72090|"Brachystelma huttonii (Harv.) N.E. Br."|75652|"Decaceras huttonii Harv."|"FSA"|"#"|116072|
72092|"Brachystelma longifolium (Schltr.) N.E. Br."|75142|"Lasiostelma longifolium (Schltr.) Schltr."|"FSA"|"#"|116072|
72092|"Brachystelma longifolium (Schltr.) N.E. Br."|75644|"Brachystelmaria longifolia Schltr."|"FSA"|"#"|116072|
72094|"Brachystelma macropetalum (Schltr.) N.E. Br."|75143|"Lasiostelma macropetalum (Schltr.) Schltr."|"FSA"|"#"|116072|
72094|"Brachystelma macropetalum (Schltr.) N.E. Br."|75645|"Brachystelmaria macropetalum Schltr."|"FSA"|"#"|116072|
72095|"Brachystelma mafekingense N.E. Br."|73456|"Ceropegia mafekingensis (N.E. Br.) R.A. Dyer"|"FSA"|"#"|116072|
72102|"Brachystelma nanum (Schltr.) N.E. Br."|75144|"Lasiostelma nanum Schltr."|"FSA"|"#"|116072|
72103|"Brachystelma natalense (Schltr.) N.E. Br."|75642|"Aulostephanus natalensis Schltr."|"FSA"|"#"|116072|
72106|"Brachystelma occidentale Schltr."|124712|"Brachystelmaria occidentalis (Schltr.) Schltr."|"FSA"|"#"|116072|"- fide Fl. S. Africa 27 (4): 20"
